Sales Dashboard
Last updated,August 06 2026 3:59:33 PM IST

Filter Selection
Date,Custom
Sales breakdown,Marketplace total
Fulfilment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
35,39,"₹11,942.00",1.11,341.2
Compare Sales - Graph view
Time,Selected date range (Ordered product sales),Selected date range (Units ordered),Same date range one year ago (Ordered product sales),Same date range one year ago (Units ordered)
2026-07-01T00:00:00,"₹558.00",2.0,"₹0.00",0.0
2026-07-02T00:00:00,"₹0.00",0.0,"₹0.00",0.0
2026-07-03T00:00:00,"₹279.00",1.0,"₹0.00",0.0
2026-07-04T00:00:00,"₹265.00",1.0,"₹0.00",0.0
2026-07-05T00:00:00,"₹1,590.00",6.0,"₹0.00",0.0
2026-07-06T00:00:00,"₹279.00",1.0,"₹0.00",0.0
2026-07-07T00:00:00,"₹0.00",0.0,"₹0.00",0.0
2026-07-08T00:00:00,"₹0.00",0.0,"₹0.00",0.0
2026-07-09T00:00:00,"₹0.00",0.0,"₹0.00",0.0
2026-07-10T00:00:00,"₹0.00",0.0,"₹0.00",0.0
2026-07-11T00:00:00,"₹499.00",1.0,"₹0.00",0.0
2026-07-12T00:00:00,"₹0.00",0.0,"₹0.00",0.0
2026-07-13T00:00:00,"₹0.00",0.0,"₹0.00",0.0
2026-07-14T00:00:00,"₹778.00",2.0,"₹0.00",0.0
2026-07-15T00:00:00,"₹558.00",2.0,"₹0.00",0.0
2026-07-16T00:00:00,"₹558.00",2.0,"₹0.00",0.0
2026-07-17T00:00:00,"₹279.00",1.0,"₹0.00",0.0
2026-07-18T00:00:00,"₹0.00",0.0,"₹0.00",0.0
2026-07-19T00:00:00,"₹279.00",1.0,"₹0.00",0.0
2026-07-20T00:00:00,"₹558.00",2.0,"₹0.00",0.0
2026-07-21T00:00:00,"₹499.00",1.0,"₹0.00",0.0
2026-07-22T00:00:00,"₹558.00",2.0,"₹0.00",0.0
2026-07-23T00:00:00,"₹0.00",0.0,"₹0.00",0.0
2026-07-24T00:00:00,"₹279.00",1.0,"₹0.00",0.0
2026-07-25T00:00:00,"₹279.00",1.0,"₹0.00",0.0
2026-07-26T00:00:00,"₹0.00",0.0,"₹0.00",0.0
2026-07-27T00:00:00,"₹279.00",1.0,"₹0.00",0.0
2026-07-28T00:00:00,"₹279.00",1.0,"₹0.00",0.0
2026-07-29T00:00:00,"₹1,894.00",5.0,"₹0.00",0.0
2026-07-30T00:00:00,"₹279.00",1.0,"₹0.00",0.0
2026-07-31T00:00:00,"₹1,116.00",4.0,"₹0.00",0.0
Compare Sales - Table view
,Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
Selected date range,35,39,"₹11,942.00",1.11,341.2
Same date range one year ago,0,0,"₹0.00",0.0,0.0
% change from same date range one year ago,N/A,N/A,N/A,N/A,N/A
Selected date range through 8/6/26 3 p.m. IST,35,39,"₹11,942.00",1.11,341.2
Same date range one year ago through 8/1/25 12 a.m. IST,0,0,"₹0.00",0.0,0.0
